Model,Learning Rate,Training Loss,Validation Loss,Validation Accuracy,Test Accuracy,Test Precision,Test Recall,Test F1 Score
caption_vit384_bert_base,5e-05,0.001,0.32,0.89,0.88,0.89,0.87,0.8798863636363636
caption_vit384_bert_fine_tuned,5e-05,0.02,0.36,0.86,0.92,0.91,0.93,0.9198913043478261
